Indicator	VISS_parameter
CoastChla	CHLOROPH
CoastBiovol	PHYTO_BIOVOLYM
CoastBQI	BEN_INV_BQI
CoastSecchi	TRANSP
CoastDINwinter	DIN
CoastTNsummer	TOT_N_SUMMER
CoastTNwinter	TOT_N_WINTER
CoastDIPwinter	DIP
CoastTPsummer	TOT_P_SUMMER
CoastTPwinter	TOT_P_WINTER
CoastChlaEQR	CHLOROPH
CoastBiovolEQR	PHYTO_BIOVOLYM
CoastSecchiEQR	TRANSP
CoastDINwinterEQR	DIN
CoastTNsummerEQR	TOT_N_SUMMER
CoastTNwinterEQR	TOT_N_WINTER
CoastDIPwinterEQR	DIP
CoastTPsummerEQR	TOT_P_SUMMER
CoastTPwinterEQR	TOT_P_WINTER
CoastBottomOxygen	OXYGEN_COND
Benthic fauna	BEN_INV 
Phytoplankton	PHYTO
Nutrients	NUTRIENTS
LakeBiovol	PHYTO_BIOVOLYM
LakeChla	CHLOROPH
LakePTI	PHYTO_TROPH_PTI
LakeNphytspec	PHYTO_NUMBER
LakeTMIEQR	MAC_PHYTE_TROPHIC
LakeIPS	PHYTO_BENTOS_IPS
LakeACIDEQR	PHYTO_BENTOS_ACID
LakeASPTEQR	BEN_INV_ASPT
LakeMILAEQR	BEN_INV_MILA
LakeBQIEQR	BEN_INV_BQI
LakeEQR8	FISH_EQR8
LakeEindexW3	FISH_EINDEXW3
LakeAindexW5	FISH_AINDEXW5
LakeTPEQR	TOT_P
LakeSecchiEQR	SECCI
LakeOxygenSummer	OXYGEN
LakepHchange	CHEM_pH
RiverIPS	PHYTO_BENTOS_IPS
RiverACIDEQR	PHYTO_BENTOS_ACID
RiverTDI	PHYTO_BENTOS_TDI
RiverASPTEQR	BEN_INV_ASPT
RiverDJEQR	BEN_INV_DJ
RiverMISAEQR	BEN_INV_MISA
RiverVIX	FISH_VIX
RiverVIXsm	FISH_VIXsm
RiverVIXmorf	FISH_VIXMORF
RiverVIXh	FISH_VIXh
RiverTNsummer	TOT_N_SUMMER
RiverTPEQR	TOT_P 
RiverOxygenSummer	OXYGEN
RiverpHchange	CHEM_pH
