Water_type	Indicator	Unit	Months	Depth_stratum	Region	Type	Typename	Min #year	Min per year	RefCond	H-G	G-M	M-P	P-B	Worst	ParameterVector_1	ParameterVector_2	ParameterVector_3	ParameterVector_4	ParameterVector_5	ParameterVector_6	ParameterVector_7	ParameterVector_8	ParameterVector_9	ParameterVector_10	V_WBperiod	V_WBannual	ntype_WB
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	01n	Västkustens inre kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	41
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	01s	Västkustens inre kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	25
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	2	Västkustens fjordar	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	21
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	11
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	3
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	4	Kattegat, Västkustens yttre kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	5
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	5	Södra Hallands och norra Öresunds kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	6
Coastal	CoastBQI	No unit	1,2,..,12	>20 m	Västerhavet	6	Öresunds kustvatten	3	1	17.6	15.7	12	8	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13794331	3.579829769	6
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	01n	Västkustens inre kustvatten	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	41
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	01s	Västkustens inre kustvatten	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	25
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	2	Västkustens fjordar	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	21
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	11
Coastal	CoastBQI	No unit	1,2,..,12	5-20 m	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	3	1	15.7	13.9	10.3	6.9	3.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.37275724	12.20534442	3
