Water_type	Qetype	Quality element	Quality subelement	Indicator	Measurement	IndicatorDescription	WB_extrapolation	Nutrient loading	Organic loading	Acidification	Harmful substances	Hydrological changes	Morphological changes	General pressure
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastChla	Chlorophyll a	Chlorophyll a	X	X	NA	NA	NA	NA	NA	NA
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastChlaEQR	Chlorophyll a	Chlorophyll a (EQR)	X	X	NA	NA	NA	NA	NA	NA
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastBiovol	Phytoplankton biovolume	Phytoplankton biovolume	X	X	NA	NA	NA	NA	NA	NA
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastBiovolEQR	Phytoplankton biovolume	Phytoplankton biovolume (EQR)	X	X	NA	NA	NA	NA	NA	NA
Coastal	Biological	Benthic fauna	Composition and diversity	CoastBQI	BQI	Benthic Quality Index (BQI)	X	X	X	NA	NA	NA	NA	NA
Coastal	Biological	Benthic vegetation	Composition and abundance	CoastMSMDI	MSMDI	Multi-Species Maximum Depth Index (MSMDI)	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Water transparency	Secchi depth	CoastSecchi	Secchi depth	Secchi Depth	X	X	X	NA	NA	NA	NA	NA
Coastal	Supporting	Water transparency	Secchi depth	CoastSecchiEQR	Secchi depth	Secchi Depth (EQR)	X	X	X	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastDINwinter	Dissolved Inorganic Nitrogen	Winter DIN conc.	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastDINwinterEQR	Dissolved Inorganic Nitrogen	Winter DIN conc. (EQR)	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastTNsummer	Total Nitrogen	Summer TN conc.	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastTNsummerEQR	Total Nitrogen	Summer TN conc. (EQR)	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastTNwinter	Total Nitrogen	Winter TN conc.	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Nitrogen	CoastTNwinterEQR	Total Nitrogen	Winter TN conc. (EQR)	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastDIPwinter	Dissolved Inorganic Phosphorus	Winter DIP conc.	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastDIPwinterEQR	Dissolved Inorganic Phosphorus	Winter DIP conc. (EQR)	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastTPsummer	Total Phosphorus	Summer TP conc.	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastTPsummerEQR	Total Phosphorus	Summer TP conc. (EQR)	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastTPwinter	Total Phosphorus	Winter TP conc.	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastTPwinterEQR	Total Phosphorus	Winter TP conc. (EQR)	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Oxygen	Oxygen	CoastBottomOxygen	Oxygen Bottom Water	Oxygen Concentration	NA	X	X	NA	NA	NA	NA	X
Coastal	Supporting	Oxygen	Oxygen	CoastHypoxicArea	Area affected by hypoxia (%)	Area affected by hypoxia (%)	NA	X	X	NA	NA	NA	NA	X
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeBiovol	Phytoplankton biovolume	Phytoplankton biovolume	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeBiovolEQR	Phytoplankton biovolume	Phytoplankton biovolume	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeChla	Chlorophyll a	Chlorophyll a	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeChlaEQR	Chlorophyll a	Chlorophyll a (EQR)	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakePTI	PhytoplanktonTrophicIndex	Phytoplankton Trophic Index	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakePTIEQR	PhytoplanktonTrophicIndex	Phytoplankton Trophic Index (EQR)	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakeNphytspec	Phytoplankton species richness	Phytoplankton species richness	X	NA	NA	X	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakeNphytspecEQR	Phytoplankton species richness	Phytoplankton species richness (EQR)	X	NA	NA	X	NA	NA	NA	NA
Lakes	Biological	Macrophytes and phytobenthos	Macrophytes composition	LakeTMIEQR	TrophicMacrophyteIndex	TrophicMacrophyteIndex (EQR)	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Macrophytes and phytobenthos	Phytobenthos composition	LakeIPS	BenthicDiatomsIPS	BenthicDiatomsIPS	X	X	X	NA	NA	NA	NA	NA
Lakes	Biological	Macrophytes and phytobenthos	Phytobenthos composition	LakeIPSEQR	BenthicDiatomsIPS	BenthicDiatomsIPS	X	X	X	NA	NA	NA	NA	NA
Lakes	Biological	Macrophytes and phytobenthos	Phytobenthos composition	LakeACIDEQR	BenthicDiatomsACID	BenthicDiatomsACID	X	NA	NA	X	NA	NA	NA	NA
